name,url,pic_url,release,avg_rating,n_ratings,playability,components,writing,art_direction,replayability,publisher,genre,type,theme,scale,proportion,mechanic,playtime,age_rating,min_players,max_players,status,br_score
Mind MGMT: The Psychic Espionage Game,https://www.beastsofwar.com/game/mind-mgmt-the-psychic-espionage-game/,https://www.beastsofwar.com/game/mind-mgmt-the-psychic-espionage-game/,2020,0,0,0,0,0,0,0,Off The Page Games,Murder & Mystery,Board Game,,,,,75,13,2,5,In Development,1.269251337
Mindjammer The Role Playing Game,https://www.beastsofwar.com/game/mindjammer-rpg/,https://www.beastsofwar.com/game/mindjammer-rpg/,2017,0,0,0,0,0,0,0,Mindjammer Press,Science Fiction,Role-playing Game,,,,,90,12,2,,In Production,1.269251337
Minecraft Board Game,https://www.beastsofwar.com/game/mincraft-board-game/,https://www.beastsofwar.com/game/mincraft-board-game/,2019,0,1,0,0,0,0,0,Ravensburger,Survival,Board Game,,,,,60,8,2,4,In Development,1.022088992
Mini Gangs,https://www.beastsofwar.com/game/mini-gangs/,https://www.beastsofwar.com/game/mini-gangs/,2018,0,1,0,0,0,0,0,Ramshackle Games,Post-Apocalyptic,Miniature War Game,,28mm,Heroic,,90,6,2,10,Crowd Funding,1.022088992
Mini Rogue,https://www.beastsofwar.com/game/mini-rogue/,https://www.beastsofwar.com/game/mini-rogue/,2016,0,0,0,0,0,0,0,Mountain Gold Games,Fantasy,Card Game,,,,,20,,1,1,In Production,1.269251337
Miremarsh,https://www.beastsofwar.com/game/miremarsh/,https://www.beastsofwar.com/game/miremarsh/,2019,0,0,0,0,0,0,0,Room 17 Games,Fantasy,Board Game,,32mm,Heroic,,60,14,1,5,Crowd Funding,1.269251337
Mississippi Queen,https://www.beastsofwar.com/game/mississippi-queen/,https://www.beastsofwar.com/game/mississippi-queen/,2018,0,0,0,0,0,0,0,Super Meeple,Family,Board Game,,,,,45,10,2,6,In Production,1.269251337
Modern AGE,https://www.beastsofwar.com/game/modern-age/,https://www.beastsofwar.com/game/modern-age/,2018,0,0,0,0,0,0,0,Green Ronin Publishing,"Cyberpunk, Science Fiction",Role-playing Game,,,,,,,2,,In Production,1.269251337
Monikers: Serious Nonsense,https://www.beastsofwar.com/game/monikers-serious-nonsense/,https://www.beastsofwar.com/game/monikers-serious-nonsense/,2019,0,0,0,0,0,0,0,,,,,,,,,,,,,1.269251337
Monopoly,https://www.beastsofwar.com/game/monopoly/,https://www.beastsofwar.com/game/monopoly/,1933,5.9,14,8.2,5,4.5,5.5,6,Hasbro,"Family, Strategy",Board Game,,,,,60,8,2,8,In Production,4.844075151
Monopoly For Millennials,https://www.beastsofwar.com/game/monopoly-for-millennials/,https://www.beastsofwar.com/game/monopoly-for-millennials/,2018,0,0,0,0,0,0,0,Hasbro,Family,Board Game,,,,,,8,2,4,In Production,1.269251337
Monopoly: IT,https://www.beastsofwar.com/game/monopoly-it/,https://www.beastsofwar.com/game/monopoly-it/,2019,0,0,0,0,0,0,0,USAopoly,"Horror, Movies",Board Game,,,,,60,17,2,6,In Production,1.269251337
Monster Arena: Playing Card Game,https://www.beastsofwar.com/game/monster-arena/,https://www.beastsofwar.com/game/monster-arena/,TBA,0,0,0,0,0,0,0,Gravekind,Horror,Card Game,,,,,,,,,,1.269251337
Monster Crunch! The Breakfast Battle Game,https://www.beastsofwar.com/game/monster-crunch-the-breakfast-battle-game/,https://www.beastsofwar.com/game/monster-crunch-the-breakfast-battle-game/,,0,0,0,0,0,0,0,,"Horror, Humour",Board Game,,,,,20,9,2,5,,1.269251337
Monsterpocalypse,https://www.beastsofwar.com/game/monsterpocalypse/,https://www.beastsofwar.com/game/monsterpocalypse/,2008,7.9,13,8.5,7.7,5.8,9.6,8,Privateer Press,Pulp,Miniature War Game,,Mixed,Heroic,,90,14,2,4,In Production,6.299788428
Monsterpunk,https://www.beastsofwar.com/game/monsterpunk/,https://www.beastsofwar.com/game/monsterpunk/,2019,0,0,0,0,0,0,0,,Post-Apocalyptic,Role-playing Game,,,,,,,,,Crowd Funding,1.269251337
Monumental,https://www.beastsofwar.com/game/monumental/,https://www.beastsofwar.com/game/monumental/,2019,0,0,0,0,0,0,0,Funforge,Fantasy,Board Game,,32mm,Heroic,,90,,2,4,Crowd Funding,1.269251337
Moonshiners of the Apocalypse,https://www.beastsofwar.com/game/moonshiners-of-the-apocalypse/,https://www.beastsofwar.com/game/moonshiners-of-the-apocalypse/,2019,0,1,0,0,0,0,0,2Fat2Fly Games,"Humour, Post-Apocalyptic, Pulp",,,,,,60,14,2,4,In Production,1.022088992
Moonstone,https://www.beastsofwar.com/game/moonstone/,https://www.beastsofwar.com/game/moonstone/,2018,8.5,19,8.7,9.5,6.6,9.7,8,Goblin King Games,Fantasy,Miniature War Game,,32mm,Heroic,,90,14,2,4,In Production,7.20754734
Mordheim,https://www.beastsofwar.com/game/mordheim/,https://www.beastsofwar.com/game/mordheim/,1999,8.5,33,8.6,7.6,8.3,8.6,9,Games Workshop,Fantasy,Miniature War Game,,28mm,Heroic,,60,10,2,6,Out of Production,7.694801788
MORK BORG,https://www.beastsofwar.com/game/mork-borg/,https://www.beastsofwar.com/game/mork-borg/,2020,0,0,0,0,0,0,0,Free League Publishing,Fantasy,Role-playing Game,,,,,360,16,2,5,In Development,1.269251337
Mortal Gods,https://www.beastsofwar.com/game/mortal-gods/,https://www.beastsofwar.com/game/mortal-gods/,2019,0,4,0,0,0,0,0,"Dark Peak Games, Footsore Miniatures and Games",Historical,Miniature War Game,,28mm,TRUE,,90,12,2,2,In Development,0.645179819
Mortem Et Gloriam,https://www.beastsofwar.com/game/mortem-et-gloriam/,https://www.beastsofwar.com/game/mortem-et-gloriam/,2016,8.4,7,9.3,7.9,9.3,7.1,8,The Wargames Zone,Historical,Miniature War Game,,15mm,TRUE,,180,,2,,In Production,5.751866714
Mouse Trap,https://www.beastsofwar.com/game/mouse-trap/,https://www.beastsofwar.com/game/mouse-trap/,1963,0,1,0,0,0,0,0,Hasbro,Family,Board Game,,,,,30,6,2,4,In Production,1.022088992
Movie Empire,https://www.beastsofwar.com/game/movie-empire/,https://www.beastsofwar.com/game/movie-empire/,2020,0,0,0,0,0,0,0,Stimilus Games,Pulp,Board Game,,,,,120,12,1,4,Crowd Funding,1.269251337
MÅ«,https://www.beastsofwar.com/game/mu/,https://www.beastsofwar.com/game/mu/,2019,0,0,0,0,0,0,0,Bankiiiz Editions,Fantasy,,,,,,30,10,1,5,In Production,1.269251337
"Mud, Blood & Glory",https://www.beastsofwar.com/game/mud-blood-glory/,https://www.beastsofwar.com/game/mud-blood-glory/,2020,0,0,0,0,0,0,0,,Historical,Role-playing Game,,,,,240,12,3,8,Crowd Funding,1.269251337
Multiverse Wars,https://www.beastsofwar.com/game/multiverse-wars/,https://www.beastsofwar.com/game/multiverse-wars/,2019,0,0,0,0,0,0,0,3C GROUP SPL,Fantasy,Board Game,,,,,240,,2,4,In Development,1.269251337
Munchkin,https://www.beastsofwar.com/game/munchkin/,https://www.beastsofwar.com/game/munchkin/,2001,7.1,19,8.2,6.3,6.1,7.6,7,Steve Jackson Games,"Fantasy, Humour",Card Game,,,,,60,10,3,6,In Production,6.057788886
Munchkin Dungeon,https://www.beastsofwar.com/game/munchkin-dungeon/,https://www.beastsofwar.com/game/munchkin-dungeon/,2019,0,0,0,0,0,0,0,"CMON, Steve Jackson Games",Fantasy,Board Game,,32mm,Chibi,,,,,,In Development,1.269251337
Munchkin Harry Potter Deluxe,https://www.beastsofwar.com/game/munchkin-harry-potter-deluxe/,https://www.beastsofwar.com/game/munchkin-harry-potter-deluxe/,2018,0,0,0,0,0,0,0,"Steve Jackson Games, USAopoly",Fantasy,Board Game,,,,,,17,3,6,In Production,1.269251337
"Munchkin Warhammer 40,000",https://www.beastsofwar.com/game/munchkin-warhammer-40000/,https://www.beastsofwar.com/game/munchkin-warhammer-40000/,2019,0,0,0,0,0,0,0,"Steve Jackson Games, Games Workshop","Family, Fantasy",Board Game,,,,,,10,3,6,In Production,1.269251337
"Munchkin Warhammer 40,000: Faith and Firepower",https://www.beastsofwar.com/game/munchkin-warhammer-40000-faith-and-firepower/,https://www.beastsofwar.com/game/munchkin-warhammer-40000-faith-and-firepower/,2019,0,0,0,0,0,0,0,Steve Jackson Games,"Family, Fantasy",Board Game,,,,,,10,3,6,In Production,1.269251337
"Munchkin Warhammer 40,000: Savagery and Sorcery",https://www.beastsofwar.com/game/munchkin-warhammer-40000-savagery-and-sorcery/,https://www.beastsofwar.com/game/munchkin-warhammer-40000-savagery-and-sorcery/,2018,0,0,0,0,0,0,0,Steve Jackson Games,Fantasy,Board Game,,,,,120,10,3,6,In Production,1.269251337
Museum: Pictura,https://www.beastsofwar.com/game/museum-pictura/,https://www.beastsofwar.com/game/museum-pictura/,2020,0,0,0,0,0,0,0,Holy Grail Games,Historical,Board Game,,,,,120,10,2,4,Crowd Funding,1.269251337
Muskets & Tomahawks,https://www.beastsofwar.com/game/muskets-tomahawks/,https://www.beastsofwar.com/game/muskets-tomahawks/,2012,8,16,9.7,6.9,8.1,6.3,9,Studio Tomahawk,Historical,Miniature War Game,,28mm,TRUE,,45,8,2,4,In Production,6.61766979
Mutant Chronicles,https://www.beastsofwar.com/game/mutant-chronicles/,https://www.beastsofwar.com/game/mutant-chronicles/,1993,8.4,5,7,8,10,10,7,Modiphius Entertainment,Science Fiction,Role-playing Game,,,,,90,14,2,,In Production,5.172107978
Mutant Chronicles: Siege Of The Citadel,https://www.beastsofwar.com/game/mutant-chronicles-siege-of-the-citadel/,https://www.beastsofwar.com/game/mutant-chronicles-siege-of-the-citadel/,2017,0,2,0,0,0,0,0,Modiphius Entertainment,Science Fiction,Board Game,,32mm,Heroic,,120,10,2,5,Crowd Funding,0.855497306
Mutant: Year Zero,https://www.beastsofwar.com/game/mutant-year-zero/,https://www.beastsofwar.com/game/mutant-year-zero/,2014,0,4,0,0,0,0,0,Modiphius Entertainment,Post-Apocalyptic,Role-playing Game,,,,,,,2,,In Production,0.645179819
Mutants & Masterminds,https://www.beastsofwar.com/game/mutants-masterminds/,https://www.beastsofwar.com/game/mutants-masterminds/,2002,0,1,0,0,0,0,0,Green Ronin Publishing,Pulp,Role-playing Game,,,,,90,12,2,,In Production,1.022088992
My First Castle Panic,https://www.beastsofwar.com/game/my-first-castle-panic/,https://www.beastsofwar.com/game/my-first-castle-panic/,2019,0,0,0,0,0,0,0,Fireside Games,"Childrens, Fantasy",Board Game,,,,,20,4,1,4,In Development,1.269251337
My Hero Academia: The Card Game,https://www.beastsofwar.com/game/my-hero-academia-the-card-game/,https://www.beastsofwar.com/game/my-hero-academia-the-card-game/,2018,0,0,0,0,0,0,0,Shinobi7,"Childrens, Pulp",Card Game,,,,,40,8,2,4,In Production,1.269251337
My Little Pony: Tales Of Equestria,https://www.beastsofwar.com/game/my-little-pony-tales-of-equestria/,https://www.beastsofwar.com/game/my-little-pony-tales-of-equestria/,2017,8.2,5,9,6,10,9,7,River Horse,Family,Role-playing Game,,,,,,,2,,In Production,5.062642427
Mysterium,https://www.beastsofwar.com/game/mysterium/,https://www.beastsofwar.com/game/mysterium/,2015,7.8,8,9.4,6.9,5,9.4,8,"Asmodee, Libellud",Murder & Mystery,Board Game,,,,,40,10,2,7,Out of Production,5.574543718
Mysterium Park,https://www.beastsofwar.com/game/mysterium-park/,https://www.beastsofwar.com/game/mysterium-park/,2020,0,0,0,0,0,0,0,Libellud,Murder & Mystery,Board Game,,,,,45,10,2,6,In Development,1.269251337
Mystery House: Adventures In A Box,https://www.beastsofwar.com/game/mystery-house-adventures-in-a-box/,https://www.beastsofwar.com/game/mystery-house-adventures-in-a-box/,2019,0,0,0,0,0,0,0,Cranio Creations,Horror,Board Game,,,,,60,14,1,5,In Production,1.269251337
Mystery Wizard,https://www.beastsofwar.com/game/mystery-wizards/,https://www.beastsofwar.com/game/mystery-wizards/,2018,0,0,0,0,0,0,0,GMT Games,"Fantasy, Strategy",Card Game,,,,,90,12,2,6,In Production,1.269251337
Myth,https://www.beastsofwar.com/game/myth/,https://www.beastsofwar.com/game/myth/,2014,7.5,17,7.1,8.5,4.7,8.8,8,MegaCon Games,Fantasy,Board Game,,32mm,Heroic,,120,12,2,5,Crowd Funding,6.28090278
Myth: Dark Frontier,https://www.beastsofwar.com/game/myth-dark-frontier/,https://www.beastsofwar.com/game/myth-dark-frontier/,2018,0,1,0,0,0,0,0,MegaCon Games,Fantasy,Board Game,,32mm,Heroic,,90,10,2,4,Crowd Funding,1.022088992
Mythic Battles: Pantheon,https://www.beastsofwar.com/game/mythic-battles-pantheon/,https://www.beastsofwar.com/game/mythic-battles-pantheon/,2017,8.7,117,9.2,9.7,6.1,9.3,9,"Mythic Games, Monolith Edition",Fantasy,Board Game,,32mm,Heroic,,90,14,2,4,Crowd Funding,8.446330486
Mythic Battles: Ragnarok,https://www.beastsofwar.com/game/mythic-battles-ragnarok/,https://www.beastsofwar.com/game/mythic-battles-ragnarok/,2020,0,1,0,0,0,0,0,Mythic Games,Fantasy,Board Game,,32mm,Heroic,,90,12,2,2,In Development,1.022088992
Mythos,https://www.beastsofwar.com/game/mythos/,https://www.beastsofwar.com/game/mythos/,2020,7.1,14,6.2,8.8,6.5,8.8,5,"Paranoid Miniatures, Warcradle Studios","Horror, Weird",Miniature War Game,,32mm,Heroic,,90,12,2,,In Production,5.770445569
Nahual,https://www.beastsofwar.com/game/nahual/,https://www.beastsofwar.com/game/nahual/,2019,0,0,0,0,0,0,0,,"Fantasy, Science Fiction, Survival",Role-playing Game,,,,,,,,,Crowd Funding,1.269251337
Namiji,https://www.beastsofwar.com/game/namiji/,https://www.beastsofwar.com/game/namiji/,2019,0,0,0,0,0,0,0,Funforge,Strategy,Board Game,,,,,45,8,2,5,In Production,1.269251337
Nanty Narking,https://www.beastsofwar.com/game/nanty-narking/,https://www.beastsofwar.com/game/nanty-narking/,2019,0,2,0,0,0,0,0,PHALANX Games,Historical,Board Game,,,,,60,14,2,4,In Production,0.855497306
Napoleon Saga: Waterloo,https://www.beastsofwar.com/game/napoleon-saga/,https://www.beastsofwar.com/game/napoleon-saga/,TBA,0,0,0,0,0,0,0,Oeuf Cube Editions,Historical,Card Game,,,,,45,14,2,,In Development,1.269251337
Narabi,https://www.beastsofwar.com/game/narabi/,https://www.beastsofwar.com/game/narabi/,2019,0,0,0,0,0,0,0,Z-Man Games,Puzzle,Card Game,,,,,15,10,3,5,,1.269251337
Narcos: The Board Game,https://www.beastsofwar.com/game/narcos-the-board-game/,https://www.beastsofwar.com/game/narcos-the-board-game/,2018,0,0,0,0,0,0,0,CMON,Strategy,Board Game,,,,,90,18,2,5,In Production,1.269251337
Nebula,https://www.beastsofwar.com/game/nebula/,https://www.beastsofwar.com/game/nebula/,2019,0,0,0,0,0,0,0,Undeferred Interactive,Educational,Board Game,,,,,30,10,2,4,Crowd Funding,1.269251337
Necromunda: Underhive,https://www.beastsofwar.com/game/necromunda-underhive/,https://www.beastsofwar.com/game/necromunda-underhive/,2017,8.7,46,9.1,9.7,6.6,8.7,9,Games Workshop,Science Fiction,Miniature War Game,,28mm,Heroic,,,12,2,4,,8.087091833
Nemesis,https://www.beastsofwar.com/game/nemesis/,https://www.beastsofwar.com/game/nemesis/,2008,0,1,0,0,0,0,0,Zenit Miniatures,Fantasy,Miniature War Game,,28mm,Heroic,,120,8,2,4,,1.022088992
Nemo Rising: Robur The Conqueror,https://www.beastsofwar.com/game/nemo-rising-robur-the-conqueror/,https://www.beastsofwar.com/game/nemo-rising-robur-the-conqueror/,2019,0,0,0,0,0,0,0,WizKids,Science Fiction,Board Game,,,,,60,14,1,4,In Development,1.269251337
NEOM,https://www.beastsofwar.com/game/neom/,https://www.beastsofwar.com/game/neom/,,0,0,0,0,0,0,0,,,Board Game,,,,,,,,,In Development,1.269251337
Neon Gods,https://www.beastsofwar.com/game/neon-gods/,https://www.beastsofwar.com/game/neon-gods/,,0,0,0,0,0,0,0,Plaid Hat Games,,,,,,,,,,,,1.269251337
Nessos,https://www.beastsofwar.com/game/nessos/,https://www.beastsofwar.com/game/nessos/,2018,0,0,0,0,0,0,0,IELLO Games,Historical,Card Game,,,,,20,8,3,6,In Production,1.269251337
Neuroshima Hex! 3.0: Sand Runners,https://www.beastsofwar.com/game/neuroshima-hex-3-0-sand-runners/,https://www.beastsofwar.com/game/neuroshima-hex-3-0-sand-runners/,2019,0,0,0,0,0,0,0,Portal Games,"Cyberpunk, Fantasy",Board Game,,,,,30,13,1,4,In Production,1.269251337
Nevada City,https://www.beastsofwar.com/game/nevada-city/,https://www.beastsofwar.com/game/nevada-city/,2019,0,0,0,0,0,0,0,Rio Grande Games,Historical,Board Game,,,,,90,,2,4,In Development,1.269251337
Nevermore,https://www.beastsofwar.com/game/nevermore/,https://www.beastsofwar.com/game/nevermore/,2015,0,0,0,0,0,0,0,Smirk and Dagger,Fantasy,Card Game,,,,,45,14,3,6,In Production,1.269251337
New Angeles,https://www.beastsofwar.com/game/new-angeles/,https://www.beastsofwar.com/game/new-angeles/,2016,0,2,0,0,0,0,0,,Cyberpunk,Board Game,,,,,120,14,4,6,,0.855497306
New Frontiers,https://www.beastsofwar.com/game/new-frontiers/,https://www.beastsofwar.com/game/new-frontiers/,2018,0,0,0,0,0,0,0,Rio Grande Games,Science Fiction,Board Game,,,,,75,14,2,5,In Production,1.269251337
New World Earth,https://www.beastsofwar.com/game/new-world-earth/,https://www.beastsofwar.com/game/new-world-earth/,TBA,0,0,0,0,0,0,0,Spinal Column Miniatures,Post-Apocalyptic,Miniature War Game,,32mm,Heroic,,,,2,,,1.269251337
Newbury & Hobbes: The Curse of Menamhotep,https://www.beastsofwar.com/game/newbury-hobbes-the-curse-of-menamhotep/,https://www.beastsofwar.com/game/newbury-hobbes-the-curse-of-menamhotep/,2020,0,0,0,0,0,0,0,Needy Cat Games,Murder & Mystery,Board Game,,,,,,,,,In Development,1.269251337
Newspeak,https://www.beastsofwar.com/game/newspeak/,https://www.beastsofwar.com/game/newspeak/,2019,0,0,0,0,0,0,0,,Murder & Mystery,Board Game,,,,,60,14,3,6,Crowd Funding,1.269251337
Newton,https://www.beastsofwar.com/game/newton/,https://www.beastsofwar.com/game/newton/,,0,0,0,0,0,0,0,CMON,Historical,Card Game,,,,,90,14,1,4,In Production,1.269251337
Ni no Kuni II: The Board Game,https://www.beastsofwar.com/game/ni-no-kuni-ii-the-board-game/,https://www.beastsofwar.com/game/ni-no-kuni-ii-the-board-game/,2020,0,0,0,0,0,0,0,Steamforged Games,"Fantasy, Strategy",Board Game,,28mm,Heroic,,60,12,1,4,In Development,1.269251337
Night of Man,https://www.beastsofwar.com/game/night-of-man/,https://www.beastsofwar.com/game/night-of-man/,2015,0,0,0,0,0,0,0,Flying Pig Games,Science Fiction,Board Game,,,,,60,12,1,3,In Production,1.269251337
Ninja All-Stars,https://www.beastsofwar.com/game/ninja-all-stars/,https://www.beastsofwar.com/game/ninja-all-stars/,2015,0,1,0,0,0,0,0,Ninja Division,Fantasy,Miniature War Game,,32mm,Heroic,,90,13,2,4,,1.022088992
Noctiluca,https://www.beastsofwar.com/game/noctiluca/,https://www.beastsofwar.com/game/noctiluca/,2019,0,0,0,0,0,0,0,Z-Man Games,Family,Board Game,,,,,30,8,1,4,In Development,1.269251337
Norsgard,https://www.beastsofwar.com/game/norsgard/,https://www.beastsofwar.com/game/norsgard/,2013,0,1,0,0,0,0,0,Norsgard Miniatures,Fantasy,Miniature War Game,,32mm,Heroic,,,,2,,,1.022088992
North Vs. South: A Civil War Card Game,https://www.beastsofwar.com/game/north-vs-south/,https://www.beastsofwar.com/game/north-vs-south/,TBA,0,0,0,0,0,0,0,3 One 6 Publications,Historical,Card Game,,,,,,10,2,6,,1.269251337
Northgard: Uncharted Lands,https://www.beastsofwar.com/game/northgard-uncharted-lands/,https://www.beastsofwar.com/game/northgard-uncharted-lands/,2020,0,0,0,0,0,0,0,Shiro Games,"Fantasy, Strategy",Board Game,,,,,90,,2,5,Crowd Funding,1.269251337
Nova Aetas,https://www.beastsofwar.com/game/nova-aetas/,https://www.beastsofwar.com/game/nova-aetas/,2017,0,1,0,0,0,0,0,Ludus Magnus Studio,Fantasy,Miniature War Game,,28mm,Heroic,,45,12,1,4,In Production,1.022088992
Numenera,https://www.beastsofwar.com/game/numenera/,https://www.beastsofwar.com/game/numenera/,2013,6.7,7,5.7,7.1,6.4,8.6,5,Monte Cook Games,Science Fiction,Role-playing Game,,,,,,,2,,In Production,4.683192652
Nyctophobia: The Hunted,https://www.beastsofwar.com/game/nyctophobia-the-hunted/,https://www.beastsofwar.com/game/nyctophobia-the-hunted/,2018,0,0,0,0,0,0,0,,Horror,Board Game,,,,,30,12,2,5,In Production,1.269251337
Oak & Iron,https://www.beastsofwar.com/game/oak-iron/,https://www.beastsofwar.com/game/oak-iron/,2019,0,2,0,0,0,0,0,Firelock Games,Historical,Miniature War Game,,10mm,TRUE,,90,,2,4,Crowd Funding,0.855497306
Oath,https://www.beastsofwar.com/game/oath/,https://www.beastsofwar.com/game/oath/,2020,0,0,0,0,0,0,0,Leder Games,Fantasy,Board Game,,,,,,,1,5,In Development,1.269251337
Oathmark: Battles Of The Lost Age,https://www.beastsofwar.com/game/oathmark-battles-of-the-lost-age/,https://www.beastsofwar.com/game/oathmark-battles-of-the-lost-age/,2019,0,4,0,0,0,0,0,Osprey Publishing,Fantasy,Miniature War Game,,32mm,,,,,2,,,0.645179819
Oathsworn: Into The Deepwood,https://www.beastsofwar.com/game/oathsworn-into-the-deepwood/,https://www.beastsofwar.com/game/oathsworn-into-the-deepwood/,2020,0,2,0,0,0,0,0,,Fantasy,Board Game,,35mm,Heroic,,,14,1,4,Crowd Funding,0.855497306
Obsidian Protocol,https://www.beastsofwar.com/game/obsidian-protocol/,https://www.beastsofwar.com/game/obsidian-protocol/,2020,0,1,0,0,0,0,0,,Science Fiction,Miniature War Game,,,Heroic,,60,14,2,2,Crowd Funding,1.022088992
Oceans,https://www.beastsofwar.com/game/oceans/,https://www.beastsofwar.com/game/oceans/,2019,0,0,0,0,0,0,0,North Star Games,Educational,Board Game,,,,,,,,,In Production,1.269251337
Odin's Ravens,https://www.beastsofwar.com/game/odins-ravens/,https://www.beastsofwar.com/game/odins-ravens/,2002,0,2,0,0,0,0,0,Osprey Publishing,Fantasy,Card Game,,,,,20,8,2,,,0.855497306
Odyssey Of The Dragonlords,https://www.beastsofwar.com/game/odyssey-of-the-dragonlords/,https://www.beastsofwar.com/game/odyssey-of-the-dragonlords/,2020,0,0,0,0,0,0,0,Modiphius Entertainment,Fantasy,Role-playing Game,,,,,360,12,2,5,In Development,1.269251337
Of Gods & Mortals,https://www.beastsofwar.com/game/of-gods-mortals/,https://www.beastsofwar.com/game/of-gods-mortals/,2013,0,1,0,0,0,0,0,Osprey Publishing,Fantasy,Miniature War Game,,28mm,Heroic,,,,2,,,1.022088992
Offensive Adult Party Game,https://www.beastsofwar.com/game/offensive-adult-party-game/,https://www.beastsofwar.com/game/offensive-adult-party-game/,2019,0,0,0,0,0,0,0,The Dragon's Tomb,Humour,Card Game,,,,,,,,,Crowd Funding,1.269251337
OGRE,https://www.beastsofwar.com/game/ogre/,https://www.beastsofwar.com/game/ogre/,1977,0,0,0,0,0,0,0,Steve Jackson Games,Science Fiction,Miniature War Game,,,Heroic,,120,12,2,,In Production,1.269251337
"Oh, Fox!",https://www.beastsofwar.com/game/oh-fox/,https://www.beastsofwar.com/game/oh-fox/,2019,0,0,0,0,0,0,0,Cinnamon Games,Survival,Board Game,,,,,20,10,2,4,In Production,1.269251337
Old West Empresario,https://www.beastsofwar.com/game/old-west-empresario/,https://www.beastsofwar.com/game/old-west-empresario/,2018,0,0,0,0,0,0,0,Tasty Minstrel Games,Western,Board Game,,,,,60,14,2,4,In Production,1.269251337
On Mars,https://www.beastsofwar.com/game/on-mars/,https://www.beastsofwar.com/game/on-mars/,2019,0,0,0,0,0,0,0,Eagle-Gryphon Games,Science Fiction,Board Game,,,,,150,14,2,4,In Development,1.269251337
On The Seven Seas,https://www.beastsofwar.com/game/on-the-seven-seas/,https://www.beastsofwar.com/game/on-the-seven-seas/,2014,0,0,0,0,0,0,0,Osprey Publishing,Historical,Miniature War Game,,28mm,Heroic,,,,2,,,1.269251337
One Hit Kill,https://www.beastsofwar.com/game/one-hit-kill/,https://www.beastsofwar.com/game/one-hit-kill/,2015,0,1,0,0,0,0,0,Quote-Unquote,Humour,Card Game,,,,,10,8,2,3,,1.022088992
One Night Ultimate Werewolf,https://www.beastsofwar.com/game/one-night-werewolf/,https://www.beastsofwar.com/game/one-night-werewolf/,2014,0,3,0,0,0,0,0,BÃ©zier Games,"Fantasy, Party",Card Game,,,,,10,8,3,10,,0.735600734
One Punch Man,https://www.beastsofwar.com/game/one-punch-man/,https://www.beastsofwar.com/game/one-punch-man/,,0,0,0,0,0,0,0,Yoka by Tsume,Fantasy,Card Game,,,,,45,,,,,1.269251337
One Small Step,https://www.beastsofwar.com/game/one-small-step/,https://www.beastsofwar.com/game/one-small-step/,2020,0,0,0,0,0,0,0,Academy Games,Science Fiction,Board Game,,,,,60,12,2,4,Crowd Funding,1.269251337
Only War,https://www.beastsofwar.com/game/only-war/,https://www.beastsofwar.com/game/only-war/,2012,0,1,0,0,0,0,0,,Science Fiction,Role-playing Game,,,,,,,2,,Out of Production,1.022088992
ONUS! Rome vs Carthage,https://www.beastsofwar.com/game/onus/,https://www.beastsofwar.com/game/onus/,2016,0,1,0,0,0,0,0,Draco Ideas,Historical,Board Game,,,,,30,12,1,4,,1.022088992
Open Combat,https://www.beastsofwar.com/game/open-combat/,https://www.beastsofwar.com/game/open-combat/,2014,0,1,0,0,0,0,0,Second Thunder,Fantasy,Miniature War Game,,28mm,,,30,10,2,,,1.022088992
OrcQuest: The Card Game,https://www.beastsofwar.com/game/orcquest-the-card-game/,https://www.beastsofwar.com/game/orcquest-the-card-game/,2017,0,2,0,0,0,0,0,Maze Games,Fantasy,Card Game,,,,,20,14,2,,,0.855497306
Orcs Must Die! The Board Game,https://www.beastsofwar.com/game/orcs-must-die/,https://www.beastsofwar.com/game/orcs-must-die/,2016,0,1,0,0,0,0,0,Petersen Games,Family,Board Game,,28mm,Heroic,,60,14,1,4,,1.022088992
Oroko,https://www.beastsofwar.com/game/oroko/,https://www.beastsofwar.com/game/oroko/,TBA,0,0,0,0,0,0,0,Kaha Miniatures,Fantasy,Miniature War Game,,35mm,Heroic,,,,2,,,1.269251337
Outbreak: Deep Space,https://www.beastsofwar.com/game/outbreak-deep-space/,https://www.beastsofwar.com/game/outbreak-deep-space/,2014,0,1,0,0,0,0,0,Hunters Books,"Horror, Science Fiction",Role-playing Game,,,,,,,2,,,1.022088992
Pacific Rim: Extinction,https://www.beastsofwar.com/game/pacific-rim-extinction/,https://www.beastsofwar.com/game/pacific-rim-extinction/,2019,0,4,0,0,0,0,0,River Horse,Science Fiction,Miniature War Game,,75mm,,,90,14,2,6,In Production,0.645179819
Paladins of the West Kingdom,https://www.beastsofwar.com/game/paladins-of-the-west-kingdom/,https://www.beastsofwar.com/game/paladins-of-the-west-kingdom/,2019,0,0,0,0,0,0,0,"Garphill Games, Renegade Game Studios","Fantasy, Strategy",Board Game,,,,,120,12,1,4,Crowd Funding,1.269251337
Paleomythic: A Roleplaying Game Of Stone And Sorcery,https://www.beastsofwar.com/game/paleomythic-a-roleplaying-game-of-stone-and-sorcery/,https://www.beastsofwar.com/game/paleomythic-a-roleplaying-game-of-stone-and-sorcery/,2019,0,0,0,0,0,0,0,Osprey Publishing,Fantasy,Role-playing Game,,,,,360,12,2,5,In Development,1.269251337
